topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
AsianHate,ChinaVirus,1298147723510550528,./data_AsianHate/ChinaVirus/tweets4/EgPyd25U0AIfDrB.jpg,,"@realDonaldTrump Re-elect President Trump!
Let #BeijingBiden retire to treat his dementia with his Chinese Communist friends surrounded by Democratic Party as the #China party with their favorite #ChinaVirus.
I stand with Trump.
#RNC2020
#RNCConvention2020 
#RepublicanConvention 
#TrumpPence2020 https://t.co/Kms8BzOl4U",,REPUBLICAN ie
Political,Trump2020,1292761388734193664,./data_Political/Trump2020/tweets2/EfDPoFCXkAAdPTg.jpg,,"@realDonaldTrump Do you realise how the rest of the World sees you? Preventing peaceful protest, scratching Medicare, destroying environment, interfering with election process, blatant lies, allowing your people to die of Covid, abandoning your troops, etc, etc, etc..
#Trump2020 https://t.co/iA9narPoTH",,TIE
Vaccine,CoronavirusVaccine,1293158064674095106,./data_Vaccine/CoronavirusVaccine/tweets2/EfI4Z70UMAIlKMc.jpg,./annotation_data/Vaccine/EfI4Z70UMAIlKMc.jpg,"* After making first #CoronavirusVaccine  * 

#russia be like : https://t.co/zbqyacQ1Cr",,pat Aion Coupe ae
Political,maga,1293324581961375744,./data_Political/maga/tweets2/EfLP0E6WAAQ674T.jpg,,"@ZazuRules Amen to that !
#TrumpCrimeFamilyMustGo #AGBARRMUSTRESIGNNOW #RepublicansAreDestroyingAmerica all need to go along with the #MAGA farts https://t.co/SBYJ93SS0Q",,TRUMP THIS NATION ae oe GAY sey
AsianHate,CCPVirus,1298883727259389952,./data_AsianHate/CCPVirus/tweets4/EgaP3StVoAYOfZT.jpg,,"@StateDept @SecPompeo @realDonaldTrump It is believed that only the defeated country can be willing to compensate for the loss!
#CCP_is_terrorist 
#CCPVirus https://t.co/HHtOiWyNA9",,am oe wee ae poe
Mask,WearAMask,1298988134084915200,./data_Mask/WearAMask/tweets4/EgbuOMTUcAA1yOH.jpg,,You can help #slowthespread of #COVID19. #Wearamask and practice #physicaldistancing (staying 6 feet from others who don’t live in your household). Make sure to #washyourhands often or use #handsanitizer when soap and water aren't available. Each habit adds a layer of protection. https://t.co/t5raQOyoZA,,DISEASE OF aa Be
AsianHate,CCPVirus,1295430122460381195,./data_AsianHate/CCPVirus/tweets3/EfpK1MAXgAEua4U.jpg,,"@WarRoomPandemic @MariaBartiromo @JoeBiden @realDonaldTrump @WarRoom2020 @SundayFutures @FoxNews The #CCP ⛩ has become #UnequallyYoked w/#US! 🇺🇸

Get #US out of the #UN, and the #WHO that condoned the #CCPVirus 💩 #CoverUp, but #ChinaLiedAndPeopleDied ☠ https://t.co/yfZwIPE642",,UNEQUALLY TI mae Be ye not unequally together with for what fellowship hath righteousness with unrighteousness and what communion hath light with darkness
Boomer,trumpliesamericansdie,1295440294515802118,./data_Boomer/trumpliesamericansdie/tweets3/EfpUD0UX0AALt9c.jpg,,@HKrassenstein Maybe God is asking @realDonaldTrump why he is such a liar. #TrumpLiesAmericansDie #TrumpIsANationalDisgrace #AmericaWakeUp https://t.co/JHvTpNRFp3,,aN IN ON DOCUMENT YOU WOULD VIOLATE
Political,Trump2020,1293620920293228546,./data_Political/Trump2020/tweets2/EfPdXcxWAAABsl4.jpg,,"@ElenaDreams6037 BIDEN   HARRIS
2020 CAMPAIN 
SNIFFEN AND BLOWING
VOTE BLUE 2020
The world is laughing at the #Democrats 
 #ChinaVirus #CCP 
#SAVEOURCHILDEN #TuesdayThoughts 
#tuesdaymood #HarrisBiden #kneepadsharris #KneepadsAndPeepads #bidenpedo 
#TheOwlHouse #TheUmbrellaAcademy 
#Trump2020 https://t.co/1szvbq0upd",,You Aint Black Unless Say You Black re Ne Sew aT EY with my
Immigration,cdnpoli,1300211011295698944,./data_Immigration/cdnpoli/tweets5/EgtGvc9VkAEOp_I.png,./annotation_data/Immigration/EgtGvc9VkAEOp_I.png,"@ChantalHbert @TorontoStar #climate Climate Policy and Rural Canada
A Tale of Three Cities
   https://t.co/AdGPTeXDop #cdnpoli #polcan https://t.co/P2ZiMrIsVJ",,er Climate Policy and Rural Canada Tale of Three
Mask,WearAMask,1297906647176810497,./data_Mask/WearAMask/tweets4/EgMXNxZWoAUejeD.jpg,,Hey #wcssfam here are a few new things you will see in September 👀 #WearAMask #WashHands https://t.co/63YiwTO0Um,,Your Story ake ai Ne Plea an here me Highlight More
Political,maga,1298348760334872576,./data_Political/maga/tweets4/EgSpUGAWsAAnaZ2.jpg,,"@RepAndyBiggsAZ And kicked in the ass on her way out...
@SpeakerPelosi 
#MAGA #KAG #Trump2020Landslide https://t.co/kpDDFagfbF",,fe BETTER ire di
Boomer,trumpliesamericansdie,1290742136300863488,./data_Boomer/trumpliesamericansdie/tweets1/EemjIavXsAI7ILh.jpg,,"@atrupar And oh btw...

#TrumpVirus #TrumpDoesntCare #TrumpPandemicFailure #TrumpLiesAmericansDie https://t.co/nV9byymFtf",,
AsianHate,chinesevirus,1300164395633446913,./data_AsianHate/chinesevirus/tweets5/Egsb5cbX0AEDcyX.jpg,,"@IFRI_ #France will be next #China's #ChineseVirus Center. https://t.co/Od1cDhqzxr

#EU #EuropeanUnion #CCP #XiJinping #WangYi https://t.co/BylYEed9xu",,aM Sa you MUST STOP LAUGHING AT ME OR YOUR
Mask,WearYourMask,1297919159012151298,./data_Mask/WearYourMask/tweets4/EgMimNHWoAcVXzJ.jpg,,Who is the masked REALTOR® today? HINT: She's a former chair of our Diversity Inclusion Committee and a 2017 graduate of our Leadership Academy. #themaskedrealtor #maskedrealtor #wearyourmask #staysafestayhealthy #covid19 #coronavirus #greaterchattanoogarealtors https://t.co/vkiLsF93tO,,LA cor CREAT Li Si Ai CHAT ALL Yo ae Woo ae ce HA GREATER THE MASKED REALTOR
Vaccine,BillGatesBioTerrorist,1290588067615649794,./data_Vaccine/BillGatesBioTerrorist/tweets1/EekXAVSXkAEz5uv.jpg,./annotation_data/Vaccine/EekXAVSXkAEz5uv.jpg,Oh Billy boy.. #BillGates #BillGatesIsNotADoctor #killbill #BillGatesBioTerrorist #Plandemic #COVID19 #TheGreatAwakeningWorldwide https://t.co/jikCqNZJB6,,When you try to kill people with but accidentally cause mass awakening Se AN
Political,trumpvirus,1297739405679947778,./data_Political/trumpvirus/tweets4/EgJ_G-GU8AA9YWu.jpg,,"@atrupar When the ship is sinking... the rats are first to abandon it... she doesn’t want to get dragged to the bottom and she prefers to have a “honorable” exit. Yeah yeah.. wherever she goes, she will be remember as one of the rat pack of #TrumpVirus! https://t.co/2FshT0jIj5",,
Immigration,americafirst,1296421213326237697,./data_Immigration/americafirst/tweets3/Ef3QOAgU0AAl-BJ.jpg,./annotation_data/Immigration/Ef3QOAgU0AAl-BJ.jpg,"@TrumpWarRoom @my3monkees HELL NOOOOOOOOOOOOOOOOO😮 WHAT THE HELL IS WRONG WITH #KamalaHarris????!!!!!!🤬
 
#Trump2020NowMoreThanEver #AmericaFirst https://t.co/PTuX0NVOeY",,OH
Vaccine,CoronavirusVaccine,1293154679270957057,./data_Vaccine/CoronavirusVaccine/tweets2/EfI1UV9UMAUjfnC.jpg,./annotation_data/Vaccine/EfI1UV9UMAUjfnC.jpg,"#CoronavirusVaccine #RussianVaccine 

Reality rn : https://t.co/HJy3OKgEsr",,awe ae we
AsianHate,CCPVirus,1293389283269599233,./data_AsianHate/CCPVirus/tweets2/EfEEFpbVoAAv_E_.jpg,,"@SolomonYue @JimmyLaiApple We need sanctions from the world, please save #Hongkongers! 
#CCP_is_terrorist #TodayHkTmrTheWorld https://t.co/Ojtkdem5jd
#FightForFreedomStandWithHK 
#CCPVirus 
#HongKongProtests 
#NationalSecueityLaw",,ie ax Po ae at and mead toy rue demote
Immigration,cdnpoli,1295648741035323392,./data_Immigration/cdnpoli/tweets3/EfsRqiGXgAEVQUe.jpg,./annotation_data/Immigration/EfsRqiGXgAEVQUe.jpg,Joe Biden is leading in the states he needs to win — but the Democrats have been here before https://t.co/mo6f74DeVK #hw #cdnpoli https://t.co/IvEAChl27Y,,
Mask,masks,1295537135915683840,./data_Mask/masks/tweets3/EfqsJ5UUwAAB6hb.jpg,,@MagentaTank @TMobile @amazon Three is a magic number! Reduced my #AmazonWishList so my #Kindergarten students will get seat pockets to keep things separate and a voice amplifier so they can hear me through my mask. https://t.co/bjRrfoPEqx… #clearthelist #michigan #BackToSchool #COVID19 #masks #FacetoFace https://t.co/0tOVreW5z8,,
Vaccine,COVID19Vaccine,1293382178814881792,./data_Vaccine/COVID19Vaccine/tweets2/EfMEOGAUcAI5leT.jpg,./annotation_data/Vaccine/EfMEOGAUcAI5leT.jpg,"#MorningIssue
#abntelugu #COVID19vaccine #RussianVaccine
#COVID19 @abntelugutv @Narasim27868771 @LAKSHMIALAPATI3 👩‍⚕️
#PresidentVladimirPutin
#VladimirPutin
#GamaleyaInstitute 
#MikhailMurashko
Experts urge caution over Russia's vaccine claim🤒 #DrLakshmiLavanyaAlapati💉 https://t.co/65XoicvPsZ",,ye LIVE Coe Follow us on Social Media
Vaccine,CoronavirusVaccine,1293143036642209792,./data_Vaccine/CoronavirusVaccine/tweets2/EfIqvPAUYAIlxNr.jpg,./annotation_data/Vaccine/EfIqvPAUYAIlxNr.jpg,"RUSSIAN PRESIDENT VLADIMIR PUTIN SAYS COUNTRY HAS REGISTERED A VACCINE FOR COVID -19

#CoronavirusVaccine 
#RussianVaccine https://t.co/fSgcsINMRx",,od As
AsianHate,ChinaVirus,1298218650726551552,./data_AsianHate/ChinaVirus/tweets4/EgQy-t8XYAIE71O.jpg,,Woman waits for the #lunaticLeft 'news' media to mock #NastyPelosi for saying that marijuana is a therapy for the #ChinaVirus. https://t.co/B0lOKe9EyG,,
Boomer,karen,1293610179326599168,./data_Boomer/karen/tweets2/EfPTmj7XoAEd_LW.jpg,,"https://t.co/h8EtiuW9J3 
Excited to share the latest addition to my #etsy shop: Karen Mug, Sassy Mug, Funny Mug, Gift, Hilarous Mug,Karen, #white #yes #ceramic #humoroussaying #karen #sassymug #funnymug #gift #hilariousmug https://t.co/LlpgMcjXxv",,re MY Ce
Vaccine,COVID19Vaccine,1292011173081051137,./data_Vaccine/COVID19Vaccine/tweets2/Ee4lTUqUwAYiCk8.jpg,./annotation_data/Vaccine/Ee4lTUqUwAYiCk8.jpg,"The Bill &amp; Melinda Gates company funded to 'GAVI' at an risk of $150 million in association of AstraZeneca of UK &amp; Novavax of US biotech would have given a stringent support to serum institute of india in making to enhance the potential of vaccine. 
#breakingnews
#COVID19vaccine https://t.co/YxsLthBoi6",,De all fe
Vaccine,CoronavirusVaccine,1296126164918915074,./data_Vaccine/CoronavirusVaccine/tweets3/EfzD39QU4AEGfYD.jpg,./annotation_data/Vaccine/EfzD39QU4AEGfYD.jpg,"The Serum Institute of India has commenced phase-2/3 trials of a promising #Covid_19 vaccine licensed from AstraZeneca and Oxford University.

#coronavirus 
#COVAXIN 
#Covid_19 
#CoronavirusVaccine 
#SerumInstitute 
#oxforduniversity 
#AstraZeneca https://t.co/of1ZttV7p0",,
Mask,maskssavelives,1295736190902177792,./data_Mask/maskssavelives/tweets3/EfthMq6XoAA0U6A.jpg,,"Done with my dialysis treatment and ready to head home. What a great time I had today! Now I'm just waiting for my ride xx 😁✌
#DialysisTreatment #maskssavelives #positivity https://t.co/hUD6BD8AhA",,els irene it Pon ey YAW APPLAUSE LADY
Mask,WearAMask,1295216329885016065,./data_Mask/WearAMask/tweets3/EfmIJ0qUcAENsUk.jpg,,Be like Doc 🤠 #WearAMask 😷 #WynonnaEarp https://t.co/UC0nE2rXZS https://t.co/I4ff6NT60V,,ana SHE
AsianHate,ChinaVirus,1295364523063414784,./data_AsianHate/ChinaVirus/tweets3/EfoPJ2TWoAEEze8.jpg,,"@senrobportman It is simply despicable for CCP to openly spy on others hardwork.

Even worse is that they use these stolen technologies to perfect their surveillance and commit crime against humanity on the people. Uyghurs is an example.

They must be stopped until it’s too late!

#ChinaVirus https://t.co/eZXLKC1iyM",,we
Boomer,trumpliesamericansdie,1296151190569451521,./data_Boomer/trumpliesamericansdie/tweets3/Efzao2jXYAAis63.jpg,,"@DonaldJTrumpJr @BarstoolNewsN @HardFactorNews @DonaldJTrumpJr , want to see if @realDonaldTrump will unseal your mother’s sworn deposition from their divorce now? or would he knock you down again in front of your friends, like he did at @Penn ?

#BidenHarris2020
#TrumpLiesAmericansDie

🇺🇸 https://t.co/4pM2aAUBxo",,not running to be running to avoid prison
Political,Trump2020,1291900898051010561,./data_Political/Trump2020/tweets2/Ee3A4jlXYAILEot.png,,"#Trump2020 

Bedminster https://t.co/iC6Hi43vIt",,WE DONT WANT AFFORDABLE HEALTH CARE re GREAT AGAIN math vet an ie Ta we are WE DEMAND TAX FOR
Political,Election2020,1298987524816138240,./data_Political/Election2020/tweets4/EgbuRL_UwAMkPMf.jpg,,Via @MotherJones: New Hot-Mic Video: What Trump Told His Lawyer When He Didn’t Know a Camera Was Rolling https://t.co/2avT6vrv8A | #politics #trump #election2020 https://t.co/r79Mj9Ph6h,,we aw aS
Mask,facemasks,1293608502259310592,./data_Mask/facemasks/tweets2/EfPSE3LXkAIqopX.jpg,,"50+ communication prompt #facemasks 4 #Deaf #deaf #DeafCommunity #hardofhearing #disabilityawareness #pinbadges #stickers
Direct link to #shop 

https://t.co/hPAeBnlxPy

Background info: https://t.co/aWVKCIASQ3 https://t.co/iVq0jeB5Pg",,aa cA ate Lust Hard of wo SPEAK MASK MAN Lip FACE ASK
AsianHate,chinesevirus,1291426341850497024,./data_AsianHate/chinesevirus/tweets1/EewRZ1VU0AAcXnh.jpg,,"New Virus spreading from China | Novel Bunya Virus | SFTS Virus #NovelBunyaVirus #ChineseVirus #newblogpost #NewBlog
Link to get information
👇👇👇👇👇👇👇👇 https://t.co/NnwT5tQCpp https://t.co/HPWPjvGjw5",,Ly Cad NEW VIRUS SPREADING FROM CHINA NOVEL BUNYA VIRUS Sa
Vaccine,CoronavirusVaccine,1291041180289921024,./data_Vaccine/CoronavirusVaccine/tweets1/EeqzGmdU8AAWlVU.jpg,./annotation_data/Vaccine/EeqzGmdU8AAWlVU.jpg,"Finally here comes a good news..
Another pharmaceutical giant announced a vaccine deal with the U.S. today..!
Just co-orperate a little more and stay safe ..!
.
.
#callbell #callbellcleaning #callbellcleaningcompany #CoronavirusVaccine #CovidVaccine #eatouttohelpout #August2020 https://t.co/LB3JZeGkNI",,GOOD NEWS Another pharmaceutical giant vaccine deal with the US Today Just little more and stay safe BELL CLEANING COMPANY
Mask,WearAMask,1293904052309364738,./data_Mask/WearAMask/tweets2/EfTe4KwXYAAopRi.jpg,,"Perhaps you would call it something different but we’re pretty locked down in my view. Honestly, I don’t know what it matters but I figured I’d explain what I mean anyway. #lockdown #COVID19 #parenting #StayHome #WearAMask 

https://t.co/qGWU1CKNGG https://t.co/vChhDKBid7",,Cony Re
Boomer,trumpliesamericansdie,1296495849690759168,./data_Boomer/trumpliesamericansdie/tweets3/Ef4TRVJVAAAmn95.jpg,,@DonaldJTrumpJr @CBSNews What goes around comes around. #DumpTrump2020 #TrumpVirus #VoteBlue2020 #VoteByMail #MailInBallot #MailinVoting #SaveUSPS #SaveSocialSecurity #MedicareForAll #TrumpHatesWomen #TrumpDeathToll173K #RidenWithBiden #ImpeachTrumpAgain #TrumpLiesAmericansDie #LiarInChief #BidenHarris https://t.co/8domIiYSyN,,Low at PLEASE DONT SEND ALONG THESE EMBARRASSING OF TRUMP WITH HIS BEST AND MAXWELL who the just
Vaccine,covidvaccine,1292303245415575552,./data_Vaccine/covidvaccine/tweets2/Ee8uZB0UEAE6P54.png,./annotation_data/Vaccine/Ee8uZB0UEAE6P54.png,"https://t.co/DrmhLhbhMj
The cheapest corona vaccine to be available in India for Rs 225, the price in the US will be between 1500 to 4500 rupees
https://t.co/dg9YCKkV4V
#COVID #CovidVaccine #coronavirus #COVID__19 #COVID19 #Covidiotas #COVID19Vic #BiggBoss14 #sundayvibes https://t.co/KjfbB1hRAj",,as ai ea re Vaccine
Mask,maskup,1298975460446044160,./data_Mask/maskup/tweets4/EgbjTB7XsAU5Ifp.jpg,,Who else is still smiling?! #cbsscares #SpreadJoyAndPositivity #maskup #coveryourbeak #cbssfamily https://t.co/kw9dw12B7X,,ey ad ce if at
Immigration,refugees,1298890430168342530,./data_Immigration/refugees/tweets4/EgaV9NkWkAEbomo.jpg,./annotation_data/Immigration/EgaV9NkWkAEbomo.jpg,"#REFUGEES — August 27th, 2020. The first convoy of #Burundi-an refugees left Mahama (#Rwanda) for their home country #Burundi. 
This was made possible after a group of refugees in MAHAMA Camp wrote an open letter asking to be repatriated. #Burundi_Facts https://t.co/MnLhvb76dX",,aunt agency
Boomer,therona,1292924010293067776,./data_Boomer/therona/tweets2/EfFjiJpWoAAEqFW.jpg,,So wrong but did make me laugh #scousema #jokes #therona https://t.co/vRhrsdCUFD,,When is killing everyone but for some reason your ex is still breathing Scouse Ma Why tho
Immigration,cdnpoli,1298313995951144963,./data_Immigration/cdnpoli/tweets4/EgSJstfWAAU1J07.jpg,./annotation_data/Immigration/EgSJstfWAAU1J07.jpg,"From Team O'Toole...and yes, they're already facing an image crisis and feeling the pressure.
#cdnpoli https://t.co/AowgndUVIx",,Dear Please continue as some form of radical extremist on social Its not going to work this time
AsianHate,ChinaLiedPeopleDied,1293193658129354754,./data_AsianHate/ChinaLiedPeopleDied/tweets2/EfJYxnAWkAAfePZ.jpg,,"#CCP #ChinaLiedPeopleDied #Wuhan #Lab #Coronavirus #Coincidental #COVID19 #Infected #World #Communism #Distortion #Deflect #Manipulation #Secrecy #SmokeAndMirrors 

Never Forget: 
Dr #LiWenliang #JiangYanyong #XuZhangrun #ChenQiushi #FangBin #XuZhiyong https://t.co/DBBacP8JJt https://t.co/z0HAcFJLrb",,People or for Telling the truth about Journalist Fang Bin Activist ad Pa ad ow Po nee ae od Military doctor fang Medical doctor Professor
Mask,facemasks,1297535641752870912,./data_Mask/facemasks/tweets4/EgHFyhNX0AgUSVB.jpg,,"spend £30 on our website this wkend &amp; recieve a free face covering. Enter code COVERUP
https://t.co/yQJpjyEzYd 
#facemask #facemaskorganic #facemasks #facemasktime #facemasking #facecovering #shirt #fashion #shirts #tshirt #shirtdesign #shirtoftheday #tshirts #shirtshop  #clothes https://t.co/cWkkgslTDF",,jo
AsianHate,ChinaVirus,1293992976373264384,./data_AsianHate/ChinaVirus/tweets2/EfUu7OAUwAAtUWH.jpg,,"What the mask really means to Democrats. #MasksOff #MasksAreDangerous #Masks #MaskUp #ChinaVirus #DemocratsAreDestroyingAmerica #DemocratsTheEnemyWithin #DemocratsTheEnemyWithin #KamalaToe #lockdownextension #WashingtonState #Washington #Seattle 
https://t.co/EWEcG3GU8i https://t.co/pD0xQ1F0IN",,ey wed aa ae TASK
Political,Trump2020,1299903465632612353,./data_Political/Trump2020/tweets5/EgovTSeUYAARizx.jpg,,"Pro Trump Rally happening in Portland, Oregon...🤠👍🇺🇸
#Trump2020LandslideVictory 
#Trump2020Landslide 
#DJT
#PortlandProtests 
#PortlandRiots 
#RepublicanConvention 
#Republicans 
#ACDC - For Those About to Rock
#Trump2020 https://t.co/ZggXoRHKNl",,
Mask,maskup,1298417148285448192,./data_Mask/maskup/tweets4/EgTng2bVoAAcl9t.jpg,,"Ran into my boss @srgfin on the way to the OR today, and took this 📸. 

Looking good Sam 😷

#MaskUp #VirusDown 
#COVID19  
@UofUHealth @huntsmancancer https://t.co/IyEDVJ5k3L",,cee pi ea MASK UP VIRUS DOWN HE Get wast our your Speed
Political,Trump2020,1298058608991768576,./data_Political/Trump2020/tweets4/EgOha_1XgAAMscI.jpg,,Our watch party is all set! #Trump2020 #BuckeyeBattalion https://t.co/7n3DXj6XVR,,fi ait goes om
Mask,masks,1299735656462254083,./data_Mask/masks/tweets5/EgmWo2cWsAEjJtI.jpg,,"Face SHEILD 3 day SALE $18  35 % @ check out $11.70

https://t.co/qbpu8xg3pG 🛍️🛍️
.
@227boutique https://t.co/IlYKaLITQM
.
Looking FABULOUS is CHIC 💍💍
.
#clearface #clearfacesheild
#clearfaceshield #clearmascara #masks https://t.co/fy1pHk0A0Z",,off
Vaccine,CoronavirusVaccine,1293376503602794496,./data_Vaccine/CoronavirusVaccine/tweets2/EfL_Ez5VAAA1A6-.jpg,./annotation_data/Vaccine/EfL_Ez5VAAA1A6-.jpg,"BREAKING: President Vladimir Putin announced Tuesday that Russia has become the first country to approve a vaccine to prevent coronavirus infection, saying one of his daughters has already received a dosel

#covid19 
#COVIDー19 
#CoronavirusVaccine 
#coronavirus https://t.co/0dmxi8iIBJ",,Russia finally ree
Immigration,americafirst,1294499087899938822,./data_Immigration/americafirst/tweets3/Efb8DkiWsAEMy6x.jpg,./annotation_data/Immigration/Efb8DkiWsAEMy6x.jpg,I suggest drinking some Kavana Rum! It's ridiculously delicious and #madeinUSA! #AmericaFirst #MAGA #Trump2020 https://t.co/d1yEDB1VzI https://t.co/uRNA83fq6q,,ME YO HOt
AsianHate,CCPVirus,1293751530731044864,./data_AsianHate/CCPVirus/tweets2/EfRUJ2bX0AYw5Uk.jpg,,"#CCPChina's logic is absurd!

They have banned everything on their soils but create ruckus when few #Chinese spy tool Apps are blocked in #USA.

#ExposeChina #BoycottChina #CCPVirus https://t.co/Q0jBfWeYcD",,US banning CRO Go Rated TUT Se Medium
Mask,facemask,1294533556895494144,./data_Mask/facemask/tweets3/EfcbZiMU4AA8vyJ.jpg,,Masks With a Sense of Humor. Available at the Redbubble link in bio. #Cute #fun #casino #poker #mask #facemask #マスク #máscara #maske #maschera #마스크 #口罩 #maskfashion #fashionmask #shoponline #funmask #funny #humor #cool #birthday #gift #present #birthdaygift #trendy https://t.co/ksDIm2WXTV,,WENT AND Ail Was TH
Vaccine,CoronavirusVaccine,1293166180270628866,./data_Vaccine/CoronavirusVaccine/tweets2/EfI_yXaUcAA0tSy.jpg,./annotation_data/Vaccine/EfI_yXaUcAA0tSy.jpg,"Russia to China
( Watch video to know how WHO failed on Covid -19
Video link
https://t.co/DZsuTZlzQR ) 

#RussianVaccine #vaccine #Putin #NewZealand #CoronavirusIndia #CoronavirusVaccine #Moscow #KrishnaJanmashtami2020 #Janmashtami #CoronaVirusUpdates #CoronaVaccine https://t.co/C5fjXsRJem",,vat any it oes
AsianHate,ChinaVirus,1294727546509168640,./data_AsianHate/ChinaVirus/tweets3/EffLsQVXkAAcHPS.jpg,,"Hey @CityofVancouver what is this sh!t?

A parking ticket for violating #COVID19 rules for not social distancing! 😡

Are u kidding me? Good luck collecting!

Taking advantage of the #ChinaVirus fear mongering!🙄

@DeputyChow @VancouverPD @AllanFongVirus @Control7007 @BarryLaclam https://t.co/Mh1bS4maaL",,os wi Sa
Political,Trump2020,1290044328191000578,./data_Political/Trump2020/tweets1/EecoQ4qX0AAUvxd.jpg,,@ML_aus_W @tagesschau Wussy huh.. oh my..😂🤦‍♂️#Trump2020 https://t.co/QfXWyJk8tl,,fe es Id
AsianHate,ChinaVirus,1294770271094702081,./data_AsianHate/ChinaVirus/tweets3/EffyslwWoAEgSwx.jpg,,"@Kitana_khan10 @ChineseMuslima Your Chenglish is not understandable ! Go to learn more English ! 

#CCPVirus 
#ChinaVirus 
#CCPLiedPeopleDied 
#CcpGenocideUighurs https://t.co/MQuo0IvI27",,me us at aes ne eS aR he People er eer as ie
Mask,maskup,1290849438278115329,./data_Mask/maskup/tweets1/EeoEuEWU8AEKtt0.jpg,,"As #brahman #Hindu  with #Ramjanmabhoomipujan 
But as a #Indian for concern of my lovely #BrotherSister it was not a right time 
It can cause #COVID19 #blast Jo bhi gye h pls do #SocialDistancing and #MaskUp #JaiShreeRam #jaisaryu #jaiayodhya 🙏🙏🙏 https://t.co/lAPsfOupgW",,
Political,Election2020,1299507198742138880,./data_Political/Election2020/tweets5/EgjGpP8XgAE7Dn4.jpg,,"I felt that this meme needed updating for the upcoming U.S 2020 Shitshow election. You're welcome.

#thelesserof2evils #election2020 #USpolitics #Trump #Biden https://t.co/412It24kGF",,THE LESSER OF FE ie WONT ea eu OF You Sa Se oes CRORE er Sag He is so reasonable
Political,maga,1291499347935453185,./data_Political/maga/tweets1/EexTz6nXoAAcnLw.jpg,,Yo #MAGA-s pick one https://t.co/HSEtrb8IPR,,sey UG oe Mae
Political,maga,1298392809523691521,./data_Political/maga/tweets4/EgTRYAeUwAAiUvN.jpg,,@43Biden WE ARE READY FOR #RNC2020 TONIGHT!! #MAGA https://t.co/rk1bOd4UBN,,ase Oe
Vaccine,CoronavirusVaccine,1293582265105002497,./data_Vaccine/CoronavirusVaccine/tweets2/EfJUsQ6VAAMkIc-.jpg,./annotation_data/Vaccine/EfJUsQ6VAAMkIc-.jpg,"About #polio crisis in 1955 : the vaccines were efficient at 70%, 70% of people received it the next 5 years and Polio has dropped by 95% in USA. #Covid-19 #StopTheSpread #vaccines #CoronavirusVaccine https://t.co/7LjUY2d9h6",,es Science wo wet by
Immigration,americafirst,1295512184705806337,./data_Immigration/americafirst/tweets3/EfqVdh-UcAE4O8w.jpg,./annotation_data/Immigration/EfqVdh-UcAE4O8w.jpg,"@ChuckCallesto What's up with this💩 deep state... are you still trolling for more illegal votes by paying illegal aliens with tax payers money? Americans need help ""NOW""...not illegal aliens!!! 🤨😠#AmericaFirst #IllegalImmigrants https://t.co/Mu3bXCwLcn",,AGAIN
Mask,maskup,1294449457971564544,./data_Mask/maskup/tweets3/EfbO69BWoAAb_5g.jpg,,Woke yet? #coronavirus #covid19 #pandemic #quarantine #lockdown #hcq #hydroxychloroquine #maskup #TheGreatAwakening #Qanon #WWG1WGA https://t.co/aWqQFsGuzj,,ME going to get up from the restaurant table without my mask on Covid Yond
Immigration,cdnpoli,1290676079146016773,./data_Immigration/cdnpoli/tweets1/EelnBdHXoAACRZc.jpg,./annotation_data/Immigration/EelnBdHXoAACRZc.jpg,"Have your say!

Join @TheMenzoid and @AndrewSaysTV on the LIVESTREAM at noon ET — post your tips, comments &amp; questions in the chat!

TUNE IN: https://t.co/nDnwR36cl4

#cdnpoli #tcot #ANTIFA https://t.co/K9VHRgekVJ",,Re re LIVE one time oh WITH AND
Political,Trump2020,1296560761616175108,./data_Political/Trump2020/tweets3/Ef5PJD3XYAccUDw.jpg,,@IronmanWarrior1 @4RealMom3 @1ADJUTOR @Simulacra_Viro @WiLOzz @marlahohner @michelschoever2 @fatgrampa11 @forinman @PnqGrammie @truthinchrist_ @AlexMementoMori @Proud17Patriot @RickHough5 @BJY1958 @CaliNativeUSA @DcdRetblue Thank you Ironman @NINA00MAGA #Trump2020 #BoycottGoodyear https://t.co/aM6yEByDHT,,WHAT SHOULD WE THE REPORT NO COLLUSION NOW THEY ALL KNOW WE WERE LYING ho ted ae UST SWITCH BACK TO OUR NEVER CATCH ON
Vaccine,CoronavirusVaccine,1293148387462668289,./data_Vaccine/CoronavirusVaccine/tweets2/EfIvmsiUMAYfkL1.jpg,./annotation_data/Vaccine/EfIvmsiUMAYfkL1.jpg,"CORONA TO VLADIMIR PUTIN WHEN HE ANNOUNCED VACCINE

#Russia 
#CoronavirusVaccine 
#russiavaccine https://t.co/PGkhhf6TfO",,we oe tu ye
Mask,facemask,1295306768516407297,./data_Mask/facemask/tweets3/EfnandAUEAAV1EV.jpg,,"Offer of the day
Non-contact infrared thermometer
Rs.2375/- 65% Off, Rs. 899/- MOQ-10
Order now, https://t.co/PkbngXmL44
Call us : +91-99539 92291, +91-89293 95927
#Appareltech #thermometer #goggles #faceshiled #eyeprotection #mask #maskmanufacturer
 #facemask #covidmask https://t.co/NbE8ysWdQy",,NONCONTACT Oe ad LIMITED TIME OFFER OFF Callus
